A1BG	alpha-1-B glycoprotein
LAYN	FLJ30977|FLJ31092|layilin
LBH	limb bud and heart development
LBHD1	MGC2477|LBH domain containing 1
LBP	BPIFD2|lipopolysaccharide binding protein
LBR	DHCR14B|TDRD18|lamin B receptor
LBX1	LBX1H|HPX6|ladybird homeobox 1
LBX2	ladybird homeobox 2
LCA5	Leber congenital amaurosis 5
LCA5L	MGC33295|Leber congenital amaurosis 5-like
LCAT	lecithin-cholesterol acyltransferase
LCE1A	LEP1|late cornified envelope 1A
LCE1B	LEP2|late cornified envelope 1B
LCE1C	LEP3|late cornified envelope 1C
LCE1D	LEP4|late cornified envelope 1D
LCE1E	LEP5|late cornified envelope 1E
LCE1F	LEP6|late cornified envelope 1F
LCE2A	LEP9|late cornified envelope 2A
LCE2B	LEP10|XP5|late cornified envelope 2B
LCE2C	LEP11|late cornified envelope 2C
LCE2D	LEP12|late cornified envelope 2D
LCE3A	LEP13|late cornified envelope 3A
LCE3B	LEP14|late cornified envelope 3B
LCE3C	LEP15|late cornified envelope 3C
LCE3D	LEP16|late cornified envelope 3D
LCE3E	LEP17|late cornified envelope 3E
LCE4A	LEP8|late cornified envelope 4A
LCE5A	LEP18|late cornified envelope 5A
LCE6A	late cornified envelope 6A
LCK	LCK proto-oncogene, Src family tyrosine kinase
LCLAT1	FLJ37965|ALCAT1|AGPAT8|lysocardiolipin acyltransferase 1
LCMT1	CGI-68|PPMT1|leucine carboxyl methyltransferase 1
LCMT2	KIAA0547|MGC9534|TYW4|PPM2|leucine carboxyl methyltransferase 2
LCN1	VEGP|TP|PMFA|MGC71975|TLC|lipocalin 1
LCN10	lipocalin 10
LCN12	MGC48935|lipocalin 12
LCN15	UNQ2541|PRO6093|lipocalin 15
LCN2	NGAL|24p3|lipocalin 2
LCN6	lipocalin 6
LCN8	lipocalin 8
LCN9	lipocalin 9
LCNL1	FLJ45224|lipocalin-like 1
LCOR	MLR2|FLJ38026|KIAA1795|ligand dependent nuclear receptor corepressor
LCORL	MLR1|FLJ30696|ligand dependent nuclear receptor corepressor-like
LCP1	PLS2|CP64|L-PLASTIN|LC64P|lymphocyte cytosolic protein 1 (L-plastin)
LCP2	SLP-76|lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)
LCT	lactase
LCTL	KLPH|FLJ33279|KLG|lactase-like
LDAH	FLJ21820|lipid droplet associated hydrolase
LDB1	NLI|CLIM2|LIM domain binding 1
LDB2	CLIM1|LDB1|LIM domain binding 2
LDB3	PDLIM6|KIAA0613|ZASP|LIM domain binding 3
LDHA	lactate dehydrogenase A
LDHAL6A	MGC23940|LDH6A|lactate dehydrogenase A-like 6A
LDHAL6B	LDHL|LDH6B|lactate dehydrogenase A-like 6B
LDHB	lactate dehydrogenase B
LDHC	CT32|lactate dehydrogenase C
LDHD	lactate dehydrogenase D
LDLR	LDLCQ2|low density lipoprotein receptor
LDLRAD1	low density lipoprotein receptor class A domain containing 1
LDLRAD2	low density lipoprotein receptor class A domain containing 2
LDLRAD3	LRAD3|low density lipoprotein receptor class A domain containing 3
LDLRAD4	low density lipoprotein receptor class A domain containing 4
LDLRAP1	ARH|ARH2|FHCB1|FHCB2|MGC34705|DKFZp586D0624|low density lipoprotein receptor adaptor protein 1
LDOC1	Mar7|Mart7|leucine zipper, down-regulated in cancer 1
LDOC1L	dJ1033E15.2|DKFZp761O17121|Mart6|Mar6|leucine zipper, down-regulated in cancer 1-like
LEAP2	LEAP-2|liver expressed antimicrobial peptide 2
LECT1	CHM-I|CHM1|chondromodulin|BRICD3|leukocyte cell derived chemotaxin 1
LECT2	chm-II|chm2|leukocyte cell-derived chemotaxin 2
LEF1	TCF1ALPHA|TCF10|TCF7L3|lymphoid enhancer-binding factor 1
LEFTY1	LEFTYB|left-right determination factor 1
LEFTY2	LEFTA|LEFTYA|left-right determination factor 2
LEKR1	FLJ16641|leucine, glutamate and lysine rich 1
LELP1	late cornified envelope-like proline-rich 1
LEMD1	LEMP-1|CT50|LEM domain containing 1
LEMD2	dJ482C21.1|NET25|LEM domain containing 2
LEMD3	MAN1|LEM domain containing 3
LENEP	LEP503|lens epithelial protein
LENG1	leukocyte receptor cluster (LRC) member 1
LENG8	KIAA1932|MGC40108|pp13842|leukocyte receptor cluster (LRC) member 8
LENG9	leukocyte receptor cluster (LRC) member 9
LEO1	LEO1 homolog, Paf1/RNA polymerase II complex component
LEP	leptin
LEPR	OBR|CD295|leptin receptor
LEPROT	OBRGRP|OB-RGRP|VPS55|FLJ90360|leptin receptor overlapping transcript
LEPROTL1	my047|Vps55|leptin receptor overlapping transcript-like 1
LETM1	leucine zipper-EF-hand containing transmembrane protein 1
LETM2	FLJ25409|leucine zipper-EF-hand containing transmembrane protein 2
LETMD1	HCCR1|LETM1 domain containing 1
LEUTX	leucine twenty homeobox
LEXM	FLJ40201|LEM|lymphocyte expansion molecule
LFNG	SCDO3|LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
LGALS1	GBP|lectin, galactoside-binding, soluble, 1
LGALS12	GRIP1|lectin, galactoside-binding, soluble, 12
LGALS13	PP13|PLAC8|lectin, galactoside-binding, soluble, 13
LGALS14	PPL13|CLC2|lectin, galactoside-binding, soluble, 14
LGALS16	lectin, galactoside-binding, soluble, 16
LGALS2	HL14|lectin, galactoside-binding, soluble, 2
LGALS3	MAC-2|GALIG|lectin, galactoside-binding, soluble, 3
LGALS3BP	MAC-2-BP|90K|BTBD17B|TANGO10B|M2BP|gp90|CyCAP|lectin, galactoside-binding, soluble, 3 binding protein
LGALS4	GAL4|lectin, galactoside-binding, soluble, 4
LGALS7	GAL7|PIG1|TP53I1|LGALS7A|lectin, galactoside-binding, soluble, 7
LGALS7B	GAL7|lectin, galactoside-binding, soluble, 7B
LGALS8	PCTA-1|lectin, galactoside-binding, soluble, 8
LGALS9	LGALS9A|lectin, galactoside-binding, soluble, 9
LGALS9B	lectin, galactoside-binding, soluble, 9B
LGALS9C	lectin, galactoside-binding, soluble, 9C
LGALSL	HSPC159|GRP|lectin, galactoside-binding-like
LGI1	IB1099|ETL1|EPITEMPIN|leucine-rich, glioma inactivated 1
LGI2	KIAA1916|FLJ10675|leucine-rich repeat LGI family, member 2
LGI3	leucine-rich repeat LGI family, member 3
LGI4	leucine-rich repeat LGI family, member 4
LGMN	LGMN1|legumain
LGR4	leucine-rich repeat containing G protein-coupled receptor 4
LGR5	HG38|FEX|leucine-rich repeat containing G protein-coupled receptor 5
LGR6	FLJ14471|leucine-rich repeat containing G protein-coupled receptor 6
LGSN	LGS|lengsin, lens protein with glutamine synthetase domain
LHB	LSH-B|CGB4|hLHB|luteinizing hormone beta polypeptide
LHCGR	LHR|LCGR|LGR2|ULG5|luteinizing hormone/choriogonadotropin receptor
LHFP	MGC22429|lipoma HMGIC fusion partner
LHFPL1	lipoma HMGIC fusion partner-like 1
LHFPL2	KIAA0206|lipoma HMGIC fusion partner-like 2
LHFPL3	lipoma HMGIC fusion partner-like 3
LHFPL4	lipoma HMGIC fusion partner-like 4
LHFPL5	MGC33835|dJ510O8.8|Tmhs|lipoma HMGIC fusion partner-like 5
LHPP	HDHD2B|phospholysine phosphohistidine inorganic pyrophosphate phosphatase
LHX1	LIM-1|LIM1|LIM homeobox 1
LHX2	LH-2|hLhx2|LIM homeobox 2
LHX3	LIM homeobox 3
LHX4	Gsh4|LIM homeobox 4
LHX5	LIM homeobox 5
LHX6	LHX6.1|LIM homeobox 6
LHX8	Lhx7|LIM homeobox 8
LHX9	LIM homeobox 9
LIAS	LAS|lipoic acid synthetase
LIF	CDF|DIA|HILDA|leukemia inhibitory factor
LIFR	CD118|leukemia inhibitory factor receptor alpha
LIG1	ligase I, DNA, ATP-dependent
LIG3	ligase III, DNA, ATP-dependent
LIG4	ligase IV, DNA, ATP-dependent
LILRA1	LIR-6|CD85i|LIR6|leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1
LILRA2	LIR-7|ILT1|CD85h|LIR7|leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2
LILRA4	ILT7|CD85g|leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 4
LILRA5	ILT11|LIR9|CD85|CD85f|leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5
LILRA6	ILT8|CD85b|leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6
LILRB1	LIR-1|ILT2|MIR-7|CD85|LIR1|CD85j|leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1
LILRB2	LIR-2|ILT4|MIR-10|LIR2|CD85d|MIR10|leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2
LILRB3	LIR-3|HL9|ILT5|LIR3|CD85a|leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3
LILRB4	LIR-5|ILT3|HM18|LIR5|CD85k|leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4
LILRB5	LIR-8|LIR8|CD85c|leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5
LIM2	MP19|MP17|lens intrinsic membrane protein 2, 19kDa
LIMA1	EPLIN|LIM domain and actin binding 1
LIMCH1	DKFZP686A01247|LIMCH1A|LMO7B|LIM and calponin homology domains 1
LIMD1	LIM domains containing 1
LIMD2	MGC10986|LIM domain containing 2
LIME1	FLJ20406|dJ583P15.4|LIME|Lck interacting transmembrane adaptor 1
LIMK1	LIMK|LIM domain kinase 1
LIMK2	LIM domain kinase 2
LIMS1	PINCH|PINCH1|LIM and senescent cell antigen-like domains 1
LIMS2	LIM and senescent cell antigen-like domains 2
LIMS3	LIM and senescent cell antigen-like domains 3
LIMS3L	LIM and senescent cell antigen-like domains 3-like
LIN28A	LIN-28|FLJ12457|ZCCHC1|CSDD1|lin-28 homolog A (C. elegans)
LIN28B	FLJ16517|CSDD2|lin-28 homolog B (C. elegans)
LIN37	ZK418.4|F25965|lin-37|lin-37 DREAM MuvB core complex component
LIN52	lin-52 DREAM MuvB core complex component
LIN54	MIP120|DKFZp686L1814|JC8.6|CXCDC1|lin-54 DREAM MuvB core complex component
LIN7A	MALS-1|TIP-33|LIN-7A|VELI1|lin-7 homolog A (C. elegans)
LIN7B	MALS-2|LIN-7B|VELI2|lin-7 homolog B (C. elegans)
LIN7C	MALS-3|Lin7c|LIN-7C|LIN-7-C|VELI3|FLJ11215|lin-7 homolog C (C. elegans)
LIN9	TGS|lin-9 DREAM MuvB core complex component
LINGO1	FLJ14594|LERN1|leucine rich repeat and Ig domain containing 1
LINGO2	LERN3|leucine rich repeat and Ig domain containing 2
LINGO3	LERN2|leucine rich repeat and Ig domain containing 3
LINGO4	leucine rich repeat and Ig domain containing 4
LINS1	WINS1|lines homolog 1
LIPA	LAL|CESD|lipase A, lysosomal acid, cholesterol esterase
LIPC	HL|HTGL|lipase, hepatic
LIPE	HSL|lipase, hormone-sensitive
LIPF	HGL|HLAL|lipase, gastric
LIPG	EDL|lipase, endothelial
LIPH	mPA-PLA1|PLA1B|mPA-PLA1alpha|LPDLR|lipase, member H
LIPI	PRED5|LPDL|CT17|mPA-PLA1beta|PLA1C|lipase, member I
LIPJ	bA425M17.2|lipase, family member J
LIPK	bA186O14.2|lipase, family member K
LIPM	bA304I5.1|lipase, family member M
LIPN	bA186O14.3|lipase, family member N
LIPT1	MGC12290|MGC13378|lipoyltransferase 1
LIPT2	lipoyl(octanoyl) transferase 2 (putative)
LITAF	PIG7|SIMPLE|FLJ38636|TP53I7|lipopolysaccharide-induced TNF factor
LIX1	Lft|limb and CNS expressed 1
LIX1L	MGC46719|limb and CNS expressed 1 like
LKAAEAR1	LKAAEAR motif containing 1
LLGL1	lethal giant larvae homolog 1 (Drosophila)
LLGL2	HGL|Hugl-2|lethal giant larvae homolog 2 (Drosophila)
LLPH	MGC14817|hLLP|LLP homolog, long-term synaptic facilitation (Aplysia)
LMAN1	MR60|ERGIC-53|ERGIC53|gp58|MCFD1|FMFD1|lectin, mannose-binding, 1
LMAN1L	ERGL|ERGIC-53L|lectin, mannose-binding, 1 like
LMAN2	GP36B|VIP36|lectin, mannose-binding 2
LMAN2L	DKFZp564L2423|VIPL|lectin, mannose-binding 2-like
LMBR1	ACHP|FLJ11665|ZRS|limb development membrane protein 1
LMBR1L	FLJ10494|KIAA1174|limb development membrane protein 1-like
LMBRD1	FLJ11240|bA810I22.1|cblF|LMBR1 domain containing 1
LMBRD2	DKFZp434H2226|LMBR1 domain containing 2
LMCD1	LIM and cysteine-rich domains 1
LMF1	FLJ12681|JFP11|FLJ22302|TMEM112A|lipase maturation factor 1
LMF2	lipase maturation factor 2
LMLN	Gp63|Msp|leishmanolysin-like (metallopeptidase M8 family)
LMNA	HGPS|lamin A/C
LMNB1	lamin B1
LMNB2	lamin B2
LMNTD1	FLJ36004|Pas1c1|lamin tail domain containing 1
LMNTD2	MGC35138|lamin tail domain containing 2
LMO1	TTG1|RHOM1|LIM domain only 1 (rhombotin 1)
LMO2	TTG2|RHOM2|RBTN2|LIM domain only 2 (rhombotin-like 1)
LMO3	Rhom-3|DAT1|LIM domain only 3 (rhombotin-like 2)
LMO4	LIM domain only 4
LMO7	FBX20|KIAA0858|LIM domain 7
LMO7DN	LMO7 downstream neighbor
LMOD1	64kD|D1|1D|leiomodin 1 (smooth muscle)
LMOD2	leiomodin 2 (cardiac)
LMOD3	leiomodin 3 (fetal)
LMTK2	KIAA1079|KPI2|KPI-2|cprk|LMR2|BREK|AATYK2|PPP1R100|lemur tyrosine kinase 2
LMTK3	KIAA1883|LMR3|TYKLM3|PPP1R101|lemur tyrosine kinase 3
LMX1A	LMX1.1|LIM homeobox transcription factor 1, alpha
LMX1B	LIM homeobox transcription factor 1, beta
LNP1	NP3|leukemia NUP98 fusion partner 1
LNPEP	CAP|PLAP|P-LAP|leucyl/cystinyl aminopeptidase
LNX1	MPDZ|PDZRN2|ligand of numb-protein X 1, E3 ubiquitin protein ligase
LNX2	MGC46315|ligand of numb-protein X 2
LONP1	LonHS|hLON|PIM1|lon peptidase 1, mitochondrial
LONP2	MGC4840|LONP|LONPL|lon peptidase 2, peroxisomal
LONRF1	FLJ23749|RNF191|LON peptidase N-terminal domain and ring finger 1
LONRF2	FLJ45273|RNF192|LON peptidase N-terminal domain and ring finger 2
LONRF3	FLJ22612|LON peptidase N-terminal domain and ring finger 3
LOR	loricrin
LOX	lysyl oxidase
LOXHD1	FLJ32670|LH2D1|lipoxygenase homology domains 1
LOXL1	LOXL|LOL|lysyl oxidase-like 1
LOXL2	WS9-14|lysyl oxidase-like 2
LOXL3	lysyl oxidase-like 3
LOXL4	FLJ21889|LOXC|lysyl oxidase-like 4
LPA	lipoprotein, Lp(a)
LPAR1	edg-2|rec.1.3|vzg-1|Gpcr26|Mrec1.3|LPA1|GPR26|lysophosphatidic acid receptor 1
LPAR2	EDG-4|LPA2|lysophosphatidic acid receptor 2
LPAR3	LP-A3|Edg-7|RP4-678I3|HOFNH30|LPA3|lysophosphatidic acid receptor 3
LPAR4	P2Y9|P2Y5-LIKE|P2RY9|LPA4|lysophosphatidic acid receptor 4
LPAR5	KPG_010|LPA5|lysophosphatidic acid receptor 5
LPAR6	P2Y5|lysophosphatidic acid receptor 6
LPCAT1	FLJ12443|AGPAT9|AGPAT10|lysophosphatidylcholine acyltransferase 1
LPCAT2	FLJ20481|AGPAT11|LysoPAFAT|lysophosphatidylcholine acyltransferase 2
LPCAT3	C3F|nessy|lysophosphatidylcholine acyltransferase 3
LPCAT4	FLJ10257|LPAAT-eta|LPEAT2|lysophosphatidylcholine acyltransferase 4
LPGAT1	KIAA0205|FAM34A1|NET8|lysophosphatidylglycerol acyltransferase 1
LPIN1	KIAA0188|lipin 1
LPIN2	KIAA0249|lipin 2
LPIN3	SMP2|lipin 3
LPL	lipoprotein lipase
LPO	SPO|lactoperoxidase
LPP	LIM domain containing preferred translocation partner in lipoma
LPXN	LDPL|leupaxin
LRAT	LCA14|lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)
LRBA	BGL|LAB300|LBA|LPS-responsive vesicle trafficking, beach and anchor containing
LRCH1	KIAA1016|leucine-rich repeats and calponin homology (CH) domain containing 1
LRCH2	KIAA1495|leucine-rich repeats and calponin homology (CH) domain containing 2
LRCH3	MGC4126|leucine-rich repeats and calponin homology (CH) domain containing 3
LRCH4	leucine-rich repeats and calponin homology (CH) domain containing 4
LRCOL1	leucine rich colipase-like 1
LRFN1	KIAA1484|SALM2|leucine rich repeat and fibronectin type III domain containing 1
LRFN2	FIGLER2|leucine rich repeat and fibronectin type III domain containing 2
LRFN3	MGC2656|SALM4|FIGLER1|leucine rich repeat and fibronectin type III domain containing 3
LRFN4	MGC3103|SALM3.|FIGLER6|leucine rich repeat and fibronectin type III domain containing 4
LRFN5	FIGLER8|SALM5|leucine rich repeat and fibronectin type III domain containing 5
LRG1	LRG|leucine-rich alpha-2-glycoprotein 1
LRGUK	FLJ32786|CFAP246|leucine-rich repeats and guanylate kinase domain containing
LRIF1	RIF1|FLJ11269|ligand dependent nuclear receptor interacting factor 1
LRIG1	LIG-1|DKFZP586O1624|LIG1|leucine-rich repeats and immunoglobulin-like domains 1
LRIG2	KIAA0806|leucine-rich repeats and immunoglobulin-like domains 2
LRIG3	FLJ90440|KIAA3016|leucine-rich repeats and immunoglobulin-like domains 3
LRIT1	PAL|DKFZP434K091|FIGLER9|leucine-rich repeat, immunoglobulin-like and transmembrane domains 1
LRIT2	AC022389.4|leucine-rich repeat, immunoglobulin-like and transmembrane domains 2
LRIT3	FLJ44691|FIGLER4|CSNB1F|leucine-rich repeat, immunoglobulin-like and transmembrane domains 3
LRMP	JAW1|lymphoid-restricted membrane protein
LRP1	LRP|CD91|LRP1A|APOER|low density lipoprotein receptor-related protein 1
LRP10	DKFZP564C1940|MGC8675|LRP9|MST087|MSTP087|low density lipoprotein receptor-related protein 10
LRP11	bA350J20.3|MANSC3|low density lipoprotein receptor-related protein 11
LRP12	ST7|FLJ12929|low density lipoprotein receptor-related protein 12
LRP1B	LRP-DIT|LRPDIT|low density lipoprotein receptor-related protein 1B
LRP2	gp330|DBS|low density lipoprotein receptor-related protein 2
LRP2BP	DKFZp761O0113|LRP2 binding protein
LRP3	LRP-3|hLRp105|low density lipoprotein receptor-related protein 3
LRP4	MEGF7|CLSS|LRP-4|SOST2|low density lipoprotein receptor-related protein 4
LRP5	LR3|BMND1|HBM|OPS|OPTA1|VBCH2|EVR4|low density lipoprotein receptor-related protein 5
LRP5L	DKFZp434O0213|low density lipoprotein receptor-related protein 5-like
LRP6	ADCAD2|low density lipoprotein receptor-related protein 6
LRP8	APOER2|MCI1|LRP-8|HSZ75190|low density lipoprotein receptor-related protein 8, apolipoprotein e receptor
LRPAP1	HBP44|low density lipoprotein receptor-related protein associated protein 1
LRPPRC	GP130|LRP130|leucine-rich pentatricopeptide repeat containing
LRR1	MGC20689|LRR-1|leucine rich repeat protein 1
LRRC1	dJ523E19.1|LANO|FLJ10775|FLJ11834|leucine rich repeat containing 1
LRRC10	HRLRRP|LRRC10A|leucine rich repeat containing 10
LRRC10B	leucine rich repeat containing 10B
LRRC14	KIAA0014|LRRC14A|leucine rich repeat containing 14
LRRC14B	leucine rich repeat containing 14B
LRRC15	LIB|leucine rich repeat containing 15
LRRC16A	dJ501N12.1|FLJ20048|CARMIL|CARMIL1|leucine rich repeat containing 16A
LRRC16B	BC008134|crml-1|CARMIL3|leucine rich repeat containing 16B
LRRC17	P37NB|H_RG318M05.3|leucine rich repeat containing 17
LRRC18	UNQ933|MGC34773|UNQ9338|VKGE9338|leucine rich repeat containing 18
LRRC19	FLJ21302|leucine rich repeat containing 19
LRRC2	leucine rich repeat containing 2
LRRC20	FLJ10751|FLJ10844|leucine rich repeat containing 20
LRRC23	B7|LRPB7|leucine rich repeat containing 23
LRRC24	LRRC14OS|leucine rich repeat containing 24
LRRC25	MAPA|FLJ38116|leucine rich repeat containing 25
LRRC26	bA350O14.10|OTTHUMG00000020980|leucine rich repeat containing 26
LRRC27	KIAA1674|leucine rich repeat containing 27
LRRC28	MGC24976|FLJ34269|FLJ45242|leucine rich repeat containing 28
LRRC29	FBL9|leucine rich repeat containing 29
LRRC3	leucine rich repeat containing 3
LRRC30	leucine rich repeat containing 30
LRRC31	FLJ23259|leucine rich repeat containing 31
LRRC32	leucine rich repeat containing 32
LRRC34	MGC27085|leucine rich repeat containing 34
LRRC36	FLJ11004|leucine rich repeat containing 36
LRRC37A	KIAA0563|leucine rich repeat containing 37A
LRRC37A2	FLJ45049|leucine rich repeat containing 37, member A2
LRRC37A3	FLJ34306|KIAA0563|leucine rich repeat containing 37, member A3
LRRC37B	leucine rich repeat containing 37B
LRRC38	leucine rich repeat containing 38
LRRC39	MGC14816|leucine rich repeat containing 39
LRRC3B	LRP15|leucine rich repeat containing 3B
LRRC3C	leucine rich repeat containing 3C
LRRC4	NAG14|leucine rich repeat containing 4
LRRC40	FLJ20331|leucine rich repeat containing 40
LRRC41	MUF1|leucine rich repeat containing 41
LRRC42	MGC8974|leucine rich repeat containing 42
LRRC43	MGC35140|leucine rich repeat containing 43
LRRC45	MGC20806|leucine rich repeat containing 45
LRRC46	MGC16309|leucine rich repeat containing 46
LRRC47	KIAA1185|RP1-286D6.3|leucine rich repeat containing 47
LRRC49	FLJ20156|leucine rich repeat containing 49
LRRC4B	DKFZp761A179|HSM|leucine rich repeat containing 4B
LRRC4C	KIAA1580|NGL-1|leucine rich repeat containing 4C
LRRC52	FLJ25811|leucine rich repeat containing 52
LRRC53	leucine rich repeat containing 53
LRRC55	FLJ45686|leucine rich repeat containing 55
LRRC56	FLJ00101|DKFZp761L1518|leucine rich repeat containing 56
LRRC57	FLJ36812|leucine rich repeat containing 57
LRRC58	leucine rich repeat containing 58
LRRC59	PRO1855|FLJ21675|leucine rich repeat containing 59
LRRC6	TSLRP|LRTP|CILD19|leucine rich repeat containing 6
LRRC61	MGC3036|FLJ31392|HSPC295|leucine rich repeat containing 61
LRRC63	RP11-139H14.4|leucine rich repeat containing 63
LRRC66	leucine rich repeat containing 66
LRRC69	leucine rich repeat containing 69
LRRC7	KIAA1365|densin-180|leucine rich repeat containing 7
LRRC70	SLRN|LOC100130733|leucine rich repeat containing 70
LRRC71	FLJ32884|leucine rich repeat containing 71
LRRC72	leucine rich repeat containing 72
LRRC73	dJ337H4.2|leucine rich repeat containing 73
LRRC74A	leucine rich repeat containing 74A
LRRC74B	leucine rich repeat containing 74B
LRRC75A	FLJ35696|leucine rich repeat containing 75A
LRRC75B	MGC131773|leucine rich repeat containing 75B
LRRC8A	KIAA1437|FLJ10337|SWELL1|leucine rich repeat containing 8 family, member A
LRRC8B	TA-LRRP|KIAA0231|leucine rich repeat containing 8 family, member B
LRRC8C	AD158|leucine rich repeat containing 8 family, member C
LRRC8D	FLJ10470|leucine rich repeat containing 8 family, member D
LRRC8E	FLJ23420|leucine rich repeat containing 8 family, member E
LRRCC1	KIAA1764|CLERC|VFL1|leucine rich repeat and coiled-coil centrosomal protein 1
LRRD1	IMAGE:4798971|leucine-rich repeats and death domain containing 1
LRRFIP1	FLAP-1|FLIIAP1|TRIP|GCF-2|HUFI-1|leucine rich repeat (in FLII) interacting protein 1
LRRFIP2	HUFI-2|leucine rich repeat (in FLII) interacting protein 2
LRRIQ1	FLJ12303|KIAA1801|leucine-rich repeats and IQ motif containing 1
LRRIQ3	MGC22773|leucine-rich repeats and IQ motif containing 3
LRRIQ4	LRRC64|leucine-rich repeats and IQ motif containing 4
LRRK1	FLJ23119|KIAA1790|Roco1|RIPK6|leucine-rich repeat kinase 1
LRRK2	ROCO2|DKFZp434H2111|FLJ45829|RIPK7|leucine-rich repeat kinase 2
LRRN1	FIGLER3|leucine rich repeat neuronal 1
LRRN2	GAC1|LRANK1|FIGLER7|leucine rich repeat neuronal 2
LRRN3	NLRR3|FLJ11129|FIGLER5|leucine rich repeat neuronal 3
LRRN4	dJ1056H1.1|NLRR4|leucine rich repeat neuronal 4
LRRN4CL	LRRN4 C-terminal like
LRRTM1	FLJ32082|leucine rich repeat transmembrane neuronal 1
LRRTM2	KIAA0416|leucine rich repeat transmembrane neuronal 2
LRRTM3	leucine rich repeat transmembrane neuronal 3
LRRTM4	FLJ12568|leucine rich repeat transmembrane neuronal 4
LRSAM1	FLJ31641|CMT2P|leucine rich repeat and sterile alpha motif containing 1
LRTM1	HT017|leucine-rich repeats and transmembrane domains 1
LRTM2	leucine-rich repeats and transmembrane domains 2
LRTOMT	COMT2|CFAP111|leucine rich transmembrane and O-methyltransferase domain containing
LRWD1	DKFZp434K1815|ORCA|CENP-33|leucine-rich repeats and WD repeat domain containing 1
LSAMP	LAMP|IGLON3|limbic system-associated membrane protein
LSG1	FLJ11301|large 60S subunit nuclear export GTPase 1
LSM1	CASM|YJL124C|LSM1 homolog, mRNA degradation associated
LSM10	MGC15749|LSM10, U7 small nuclear RNA associated
LSM11	FLJ38273|LSM11, U7 small nuclear RNA associated
LSM12	FLJ30656|LSM12 homolog
LSM14A	DKFZP434D1335|RAP55A|RAP55|LSM14A mRNA processing body assembly factor
LSM14B	FT005|bA11M20.3|FLJ25473|LSM13|RAP55B|LSM family member 14B
LSM2	G7b|YBL026W|LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated
LSM3	YLR438C|SMX4|USS2|LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated
LSM4	YER112W|LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated
LSM5	YER146W|LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated
LSM6	YDR378C|LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated
LSM7	YNL147W|LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated
LSM8	YJR022W|LSM8 homolog, U6 small nuclear RNA associated
LSMEM1	FLJ39575|leucine-rich single-pass membrane protein 1
LSMEM2	FLJ38608|leucine-rich single-pass membrane protein 2
