NoAb	NoD@ NA
H3K9ac|ab4441|Histone H3 (acetyl K9). As with H3K27ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K9ac|Liver	His@ H3K9ac
H3K79me2|39143|H3K79me2 is a mark of the transcriptional transition region - the region between the initiation marks (K4me3, etc) and the elongation marks (K36me3).|Rabbit polyclonal antibody raised against a peptide containing K79 di-methylation. Antibody Target: H3K79me2|Liver	His@ H3K79me2
H3K36me3|ab9050|Histone H3 (tri-methyl K36). Marks regions of RNAPII elongation, including coding and non-coding transcripts.|rabbit polyclonal. Antibody Target: H3K36me3|Liver	His@ H3K36me3
H3K27me3|07-449|Histone H3 (tri-methyl K27). Marks promoters that are silenced by Polycomb proteins in a given lineage; large domains are found at inactive developmental loci.|rabbit polyclonal. Antibody Target: H3K27me3|Liver	His@ H3K27me3
H3K9ac|ab4441|Histone H3 (acetyl K9). As with H3K27ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K9ac|Heart	His@ H3K9ac
H3K36me3|ab9050|Histone H3 (tri-methyl K36). Marks regions of RNAPII elongation, including coding and non-coding transcripts.|rabbit polyclonal. Antibody Target: H3K36me3|B-cell_(CD43-)	His@ H3K36me3
H3K9me3|ab8898|Histone H3 (tri methyl K9). Is associated with repressive heterochromatic state (silenced chromatin). NOTE CONTRAST to H3K9me1 which is associated with active and accessible regions.|rabbit polyclonal, ChIP grade. Antibody Target: H3K9me3|ES-Bruce4	His@ H3K9me3
H3K27me3|07-449|Histone H3 (tri-methyl K27). Marks promoters that are silenced by Polycomb proteins in a given lineage; large domains are found at inactive developmental loci.|rabbit polyclonal. Antibody Target: H3K27me3|Spleen	His@ H3K27me3
H3K27me3|07-449|Histone H3 (tri-methyl K27). Marks promoters that are silenced by Polycomb proteins in a given lineage; large domains are found at inactive developmental loci.|rabbit polyclonal. Antibody Target: H3K27me3|Testis	His@ H3K27me3
H3K27me3|07-449|Histone H3 (tri-methyl K27). Marks promoters that are silenced by Polycomb proteins in a given lineage; large domains are found at inactive developmental loci.|rabbit polyclonal. Antibody Target: H3K27me3|Thymus	His@ H3K27me3
H3K27me3|07-449|Histone H3 (tri-methyl K27). Marks promoters that are silenced by Polycomb proteins in a given lineage; large domains are found at inactive developmental loci.|rabbit polyclonal. Antibody Target: H3K27me3|WholeBrain	His@ H3K27me3
H3K27ac|ab4729|Histone H3 (acetyl K27). As with H3K9ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation has can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K27ac|MEL	His@ H3K27ac
H3K9ac|ab4441|Histone H3 (acetyl K9). As with H3K27ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K9ac|MEL	His@ H3K9ac
H3K27ac|ab4729|Histone H3 (acetyl K27). As with H3K9ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation has can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K27ac|MEF	His@ H3K27ac
H3K27ac|ab4729|Histone H3 (acetyl K27). As with H3K9ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation has can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K27ac|Spleen	His@ H3K27ac
H3K4me1|ab8895|Histone H3 (mono methyl K4). Is associated with enhancers, and downstream of transcription starts.|rabbit polyclonal. Antibody Target: H3K4me1|Heart	His@ H3K4me1
H3K4me3|07-473|Histone H3 (tri methyl K4). Marks promoters that are active or poised to be activated.|rabbit polyclonal. Antibody Target: H3K4me3|Heart	His@ H3K4me3
H3K27ac|ab4729|Histone H3 (acetyl K27). As with H3K9ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation has can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K27ac|Placenta	His@ H3K27ac
H3K4me1|ab8895|Histone H3 (mono methyl K4). Is associated with enhancers, and downstream of transcription starts.|rabbit polyclonal. Antibody Target: H3K4me1|Placenta	His@ H3K4me1
H3K4me3|07-473|Histone H3 (tri methyl K4). Marks promoters that are active or poised to be activated.|rabbit polyclonal. Antibody Target: H3K4me3|Placenta	His@ H3K4me3
H3K27me3|07-449|Histone H3 (tri-methyl K27). Marks promoters that are silenced by Polycomb proteins in a given lineage; large domains are found at inactive developmental loci.|rabbit polyclonal. Antibody Target: H3K27me3|Heart	His@ H3K27me3
H3K36me3|ab9050|Histone H3 (tri-methyl K36). Marks regions of RNAPII elongation, including coding and non-coding transcripts.|rabbit polyclonal. Antibody Target: H3K36me3|Heart	His@ H3K36me3
H3K79me2|39143|H3K79me2 is a mark of the transcriptional transition region - the region between the initiation marks (K4me3, etc) and the elongation marks (K36me3).|Rabbit polyclonal antibody raised against a peptide containing K79 di-methylation. Antibody Target: H3K79me2|Heart	His@ H3K79me2
H3K4me3|07-473|Histone H3 (tri methyl K4). Marks promoters that are active or poised to be activated.|rabbit polyclonal. Antibody Target: H3K4me3|OlfactBulb	His@ H3K4me3
H3K9ac|ab4441|Histone H3 (acetyl K9). As with H3K27ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K9ac|ES-Bruce4	His@ H3K9ac
H3K27ac|ab4729|Histone H3 (acetyl K27). As with H3K9ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation has can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K27ac|ES-E14	His@ H3K27ac
H3K36me3|ab9050|Histone H3 (tri-methyl K36). Marks regions of RNAPII elongation, including coding and non-coding transcripts.|rabbit polyclonal. Antibody Target: H3K36me3|ES-E14	His@ H3K36me3
H3K4me3|07-473|Histone H3 (tri methyl K4). Marks promoters that are active or poised to be activated.|rabbit polyclonal. Antibody Target: H3K4me3|ES-E14	His@ H3K4me3
H3K9ac|ab4441|Histone H3 (acetyl K9). As with H3K27ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K9ac|ES-E14	His@ H3K9ac
H3K79me2|39143|H3K79me2 is a mark of the transcriptional transition region - the region between the initiation marks (K4me3, etc) and the elongation marks (K36me3).|Rabbit polyclonal antibody raised against a peptide containing K79 di-methylation. Antibody Target: H3K79me2|CH12	His@ H3K79me2
Input|Control signal which may be subtracted from experimental raw signal before peaks are called.|B-cell_(CD43-)	InP@ Input control
H3K27ac|ab4729|Histone H3 (acetyl K27). As with H3K9ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation has can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K27ac|CH12	His@ H3K27ac
H3K4me2|ab7766|Histone H3 (di methyl K4). Marks promoters and enhancers. Most CpG islands are marked by H3K4me2 in primary cells. May be associated also with poised promoters.|rabbit polyclonal. Antibody Target: H3K4me2|CH12	His@ H3K4me2
H3K9ac|ab4441|Histone H3 (acetyl K9). As with H3K27ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K9ac|CH12	His@ H3K9ac
H3K4me1|ab8895|Histone H3 (mono methyl K4). Is associated with enhancers, and downstream of transcription starts.|rabbit polyclonal. Antibody Target: H3K4me1|Liver	His@ H3K4me1
H3K4me3|07-473|Histone H3 (tri methyl K4). Marks promoters that are active or poised to be activated.|rabbit polyclonal. Antibody Target: H3K4me3|Liver	His@ H3K4me3
H3K36me3|ab9050|Histone H3 (tri-methyl K36). Marks regions of RNAPII elongation, including coding and non-coding transcripts.|rabbit polyclonal. Antibody Target: H3K36me3|ES-Bruce4	His@ H3K36me3
H3K27ac|ab4729|Histone H3 (acetyl K27). As with H3K9ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation has can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K27ac|BoneMarrow	His@ H3K27ac
H3K27ac|ab4729|Histone H3 (acetyl K27). As with H3K9ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation has can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K27ac|Limb	His@ H3K27ac
H3K9me3|ab8898|Histone H3 (tri methyl K9). Is associated with repressive heterochromatic state (silenced chromatin). NOTE CONTRAST to H3K9me1 which is associated with active and accessible regions.|rabbit polyclonal, ChIP grade. Antibody Target: H3K9me3|WholeBrain	His@ H3K9me3
H3K27ac|ab4729|Histone H3 (acetyl K27). As with H3K9ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation has can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K27ac|OlfactBulb	His@ H3K27ac
H3K4me1|ab8895|Histone H3 (mono methyl K4). Is associated with enhancers, and downstream of transcription starts.|rabbit polyclonal. Antibody Target: H3K4me1|OlfactBulb	His@ H3K4me1
H3K27ac|ab4729|Histone H3 (acetyl K27). As with H3K9ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation has can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K27ac|Thymus	His@ H3K27ac
H3K4me1|ab8895|Histone H3 (mono methyl K4). Is associated with enhancers, and downstream of transcription starts.|rabbit polyclonal. Antibody Target: H3K4me1|Thymus	His@ H3K4me1
H3K4me3|07-473|Histone H3 (tri methyl K4). Marks promoters that are active or poised to be activated.|rabbit polyclonal. Antibody Target: H3K4me3|Thymus	His@ H3K4me3
H3K27ac|ab4729|Histone H3 (acetyl K27). As with H3K9ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation has can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K27ac|Cortex	His@ H3K27ac
H3K27ac|ab4729|Histone H3 (acetyl K27). As with H3K9ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation has can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K27ac|ES-Bruce4	His@ H3K27ac
H3K27ac|ab4729|Histone H3 (acetyl K27). As with H3K9ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation has can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K27ac|Cerebellum	His@ H3K27ac
H3K4me1|ab8895|Histone H3 (mono methyl K4). Is associated with enhancers, and downstream of transcription starts.|rabbit polyclonal. Antibody Target: H3K4me1|WholeBrain	His@ H3K4me1
H3K4me3|07-473|Histone H3 (tri methyl K4). Marks promoters that are active or poised to be activated.|rabbit polyclonal. Antibody Target: H3K4me3|WholeBrain	His@ H3K4me3
H3K27ac|ab4729|Histone H3 (acetyl K27). As with H3K9ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation has can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K27ac|WholeBrain	His@ H3K27ac
H3K27ac|ab4729|Histone H3 (acetyl K27). As with H3K9ac, associated with transcriptional initiation and open chromatin structure. It remains unknown whether acetylation has can have different consequences depending on the specific lysine residue targeted. In general, though, there appears to be high redundancy. Histone acetylation is notable for susceptibility to small molecules and drugs that target histone deacetylases.|rabbit polyclonal. Antibody Target: H3K27ac|Kidney	His@ H3K27ac
H3K27me3|07-449|Histone H3 (tri-methyl K27). Marks promoters that are silenced by Polycomb proteins in a given lineage; large domains are found at inactive developmental loci.|rabbit polyclonal. Antibody Target: H3K27me3|Cerebellum	His@ H3K27me3
